判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/5/8,大阪ガス,都市ガス事業者初となるトランジション・リンク・ボンドの発行に関するお知らせ,"大阪ガス株式会社（社長：藤原　正隆）は、都市ガス事業者初となる[①]※1（以下、本社債）の発行を決定しました。
当社は、これらの活動に必要な資金調達の一環として、従前よりトランジション・ファイナンスを戦略的に活用してきましたが、今般、資金調達手段の多様化と当社トランジション戦略の発信強化を図る観点から、トランジション・リンク・ボンドを発行するため、グリーン/トランジション・ファイナンス・フレームワーク（以下、本フレームワーク）※2を改訂しました。","①トランジション・リンク・ボンド
※脱炭素社会の実現に向けて長期的な戦略を策定した企業が、戦略に沿った温室効果ガス排出削減等の目標設定を行い、当該目標の達成状況に応じて経済的条件等が変動する社債",,,,,
,4,2024/5/8,大阪ガス,2024年3月期（第206期）決算について,"当期の売上高は、国内エネルギー事業で販売量が多い冬期において原料費調整制度に基づきガス販売単価が前期に比べて低めに推移したことや、ＬＮＧ販売価格が下落したことなどにより、前期に比べて[①]となりました。経常利益は、国内エネルギー事業での前年度のフリーポートＬＮＧプロジェクトの液化基地の操業停止を受けたＬＮＧ調達などに伴う費用増加の反動や、原料価格などの変動が販売単価に反映されるまでのタイムラグによる増益影響(*)などにより、[②]となりました。親会社株主に帰属する当期純利益は、増益となりました。
   連結子会社数は、前期末から6社増、1社減の159社となりました。また、持分法適用関連会社数は、前期末から11社増、1社減の42社となりました。",①減収②増益,,,,,Daigasエナジー
,5,2024/5/10,その他,さくら情報システムのIT企画伴走支援サービス「絆」を 関西テレビ放送が導入　事例インタビュー公開,IT企画伴走支援サービス「[①]」の提供を行なっているさくら情報システム株式会社(本社：東京都港区、代表取締役社長：伊延 充正、以下：さくら情報システム)は、関西を中心に多彩なコンテンツをお届けしている関西テレビ放送株式会社(本社：大阪府大阪市、代表取締役社長：羽牟 正一、以下：関西テレビ放送)に導入されたIT企画伴走支援サービス「絆」の導入事例インタビューを2024年5月10日(金)に公開したことをお知らせします。,①絆,,,,,大阪ガスマーケティング
,6,2024/5/13,その他,"オージス総研、Amazonビジネスの請求情報を
Concur? Invoice?に自動連携する新サービス開始",株式会社オージス総研（本社:大阪市西区、代表取締役社長:吉村和彦、以下 オージス総研）は、アマゾンジャパン合同会社（所在地:東京都目黒区）が提供する法人向けのEコマース事業「[①]」の請求情報と適格請求書（インボイス）PDFを、株式会社コンカー（本社:東京都千代田区、代表取締役:橋本祥生、以下 コンカー）のクラウド請求書管理システム「Concur Invoice」に自動連携するサービス 「[②]」の提供を開始しました。,"①Amazonビジネス②eCubenet Amazonビジネス コネクター
Eコマース＝インターネットを通じて商品サービスを売買する電子商取引のこと",,,,,Daigasガスアンドパワーソリューション
,7,2024/5/14,その他,"『DULTON HOME RENOVATION』
リノベーションモデルルームが東京都国分寺に完成！
～5月14日より、内覧予約の受付をスタート！～",高品質な中古マンションリノベーションを手掛けるグローバルベイス株式会社（本社：東京都渋谷区、代表取締役社長 茂木敬一郎）のオーダーリノベーションサービス「[①]」と、インテリア雑貨メーカーの株式会社ダルトン（本社：静岡県静岡市、代表者：君塚真）が展開するリノベーションプラン「[②]」のモデルルームが、東京都国分寺市に完成いたしました。本日より、内覧会の予約受付を開始いたします。,①マイリノ②DULTON HOME RENOVATION（ダルトンホームリノベーション）,,,,,大阪ガスネットワーク
,8,2024/5/15,その他,京都工芸繊維大学×京都リサーチパーク 持続可能な未来を目指す「環境技術セミナー」シリーズ 全4回開催、初回セミナーを5月29日に開催します,京都リサーチパーク株式会社（代表取締役社長：門脇あつ子、以下KRP）と京都工芸繊維大学（学長：吉本 昌広）は、持続可能な技術開発をテーマにした「[①]」を2024年5月から12月にかけて全4回にわたり開催します。本セミナーでは、環境技術の最前線に立つ京都工芸繊維大学の研究者から、環境配慮・負荷軽減等の技術開発、事業化に取り組む企業、事業体の方に向けて、最新の研究成果や業界のトレンドを発信・共有します。企業と学術の架け橋となる知識交流の機会を提供することで、共同研究や新規事業創出のきっかけとなることを目指します。第１回セミナーは「グリーンテックデバイスの開発と応用」をテーマに5月29日(水)に開催します。,①環境技術セミナーシリーズ,,,,,その他
,9,2024/5/15,Daigasエナジー,"オンサイト型バイオガス化システム「D-Bioメタン」の導入
～ニチレイフーズ関西工場において食品残渣を有効利用～","大阪ガス株式会社（社長：藤原正隆、本社：大阪市中央区）の100%子会社のDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区、以下「Daigasエナジー」）は、オンサイト型バイオガス化システム「[①]」を株式会社[②]（社長：竹永雅彦、本社：東京都中央区、以下「②」）の関西工場（以下「本工場」）に設置することを決定し、このたび「②」とエネルギーサービス契約※1 を締結しました。
　今後工事を進め、2025年7月のエネルギーサービス開始を目指します。","①D-Bioメタン
②ニチレイフーズ",,,,,
,10,2024/5/17,大阪ガス,舞洲工場におけるメタネーション実証設備の竣工式を開催,大阪ガス株式会社（代表取締役社長：藤原 正隆、以下「大阪ガス」）は、大阪市や大阪広域環境施設組合の協力のもと、2022年4月より「再生可能エネルギー（以下「再エネ」）由来の[①]と、生ごみを発酵させて製造したバイオガスとを[②]*1し、製造されたメタンを配管で輸送し、都市ガス消費機器で利用するというサプライチェーン構築を目指す実証事業（以下「本事業」）を実施しております*2。本日、大阪広域環境施設組合が運営管理する大阪市[③]区にあるごみ焼却工場（以下「舞洲工場」）の敷地内にて、「②」実証設備の竣工式を執り行いましたので、お知らせいたします。,"①水素②メタネーション
③此花区",,,,,
,11,2024/5/24,大阪ガス,「第53回無担保社債（トランジション・リンク・ボンド）」「第54回無担保社債」「第55回無担保社債」発行に関するお知らせ,大阪ガス株式会社（社長：藤原正隆）は、2024年5月8日付「「①」の発行に関するお知らせ」にてお知らせしました[①]（第53回無担保社債（期間10年））ならびに、第54回無担保社債（期間20年）、第55回無担保社債（期間30年）を以下の概要で発行します。,①トランジション・リンク・ボンド,,,,,
,13,2024/5/30,大阪ガス,ＧＳユアサと新型PCS併設型蓄電池システムを用いた共同実証契約を締結," 大阪ガス株式会社（社長：藤原 正隆、本社：大阪市中央区、以下「大阪ガス」）は、株式会社[①]（社長：村尾 修、本社：京都市南区、以下「①」）と、[①]が新たに開発を手掛ける[②]（以下「本蓄電池システム」）を用いた実証試験に関する共同実証契約を本日締結しました。
本蓄電池システムは、蓄電池・PCS・遠隔監視システムを一体化することで設備の小型化を実現しています。さらに、蓄電池盤ごとに運搬・搬入、据付作業ができるため、特殊車両や大型クレーンの使用が不要となり、狭小地への設置が可能です。",①株式会社 ＧＳユアサ②PCS併設型蓄電池システム,,,,,
,14,2024/5/30,大阪ガス,2024年7月ガス料金の原料費調整について,大阪ガス株式会社（社長：藤原 正隆）は、2024年2月～2024年4月の平均原料価格に基づき、2024年7月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は[①]円（税込）になります。,"①6,529",,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
