判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,,,," 大阪ガスは、国立研究開発法人産業技術総合研究所（理事長：石村 和彦、以下「産総研」）とともに採択された、国立研究開発法人新エネルギー・産業技術総合開発機構（以下「NEDO」）の「①事業＊1／CO2等を用いた燃料製造技術開発プロジェクト」の「②メタネーション技術革新事業」のもと②メタネーションの開発を進めています。このたびベンチスケール試験施設が完成し、本日、竣工式を行いました。
。本施設で実施するベンチスケール（同約200戸相当）試験では、まず、②水蒸気電解装置＊4と大阪ガス開発の触媒を充填したメタン合成装置を組み合わせて、装置の性能確認を行うとともに、プロセス全体の運転データの取得を行い、高いエネルギー変換効率を達成するための検証を進めます。その後、更なる高効率化に向けて、開発を進める②共電解装置＊5を新たに設置し、試験を行います。","①グリーンイノベーション基金
②SOEC",,,,,
,2,,,,大阪ガスの実験集合住宅「①」において、ともに大阪ガス100％子会社で、賃貸マンション・分譲マンション事業などを手掛ける大阪ガス都市開発株式会社と、マンションのリノベーション事業などを手掛ける大阪ガスマーケティングが、働き方や住まい方が多様化する時代におけるお客さまのニーズに合った商品開発・提案に向けて、2025年6月から、各１住戸で居住実験を開始します。両社が①で住まい方に関する居住実験を行うのは初めての取り組みです。,①NEXT21,,,,,
,3,,,,"①株式会社、②株式会社、③株式会社、大阪ガス株式会社は、このたび、4社が出資する④合同会社(以下、SPC)が、北海道千歳市での系統用蓄電池設備の設置にむけ着工したことをお知らせします。当初発表の通り2027年1月の運転開始をめざしています
 4社で進める系統用蓄電池事業(以下、本事業)は、蓄電池の充放電を行うことで電力需給を安定化させることを目的としており、出力25MW、容量50MWhの系統用蓄電池となります。","①三菱ＨＣキャピタルエナジー
②三菱地所
③サムスン物産
④上長都ひかり蓄電",,,,,大阪ガス
,4,,,,"大阪ガスと①株式会社＊1(代表取締役：藤宮 康洋、以下「①」)は、2021年に中小型太陽光発電所の継続的な共同開発に関する合意書を締結し、継続的な中小型太陽光発電所の共同開発を行っており、今回新たに、6か所の非FIT/非FIP太陽光発電所（合計容量約0.8万kW、以下「本発電所」）を開発することを決定しました。
本発電所の開発は、両社が出資する②合同会社を通じて実施する予定です。両社が共同出資を通じて太陽光発電所を開発するのは今回で4度目となり、本発電所の開発により、合計31か所、約2.6万kWとなる見込みです。BSSが本発電所の運転管理・メンテナンス業務を行い、大阪ガスがオフサイトコーポレートPPAモデルにより、本発電所で生み出された電気と環境価値の全量を買い取ります。本発電所は、順次建設を開始し、2026年7月までの運転開始を目指します。","①ブルースカイソーラー（BSS）
②S&Dx solar3",,,,,Daigasエナジー
,5,,,,"大阪ガスは、カーボンニュートラル化に貢献する①開発について、②株式会社と共に、国立研究開発法人新エネルギー・産業技術総合開発機構（以下「NEDO」）の「カーボンリサイクル・次世代火力発電等技術開発／次世代火力発電基盤技術開発／CO2分離・回収型ポリジェネレーションシステム技術開発」の助成事業※１に採択されました。
①は、バイオマスなどの燃料を、空気中の酸素を用いずに、酸化鉄などの金属酸化物中の酸素を使って燃焼させる技術であり、燃焼排ガス中に空気由来の窒素や窒素酸化物が混入しないため、容易に高純度のCO2を分離・回収できる特徴を有します。","①ケミカルルーピング燃焼技術
②JFEエンジニアリング",,,,,大阪ガスマーケティング
,6,,,,"大阪ガスは、世界的な再生可能エネルギー（以下「再エネ」）発電事業者である①が保有する発電所運営会社から、福島県相馬市に位置する②（発電容量約4万kW、2022年2月に運転開始、）の持分③%を取得しました。大阪ガスが①社の保有する発電所に出資するのは、本発電所で7か所目＊1となり、合計の発電容量は25万kWを超えました。
本発電所で発電された電気は、特定卸供給＊2により全量を大阪ガスが引き取り、FIT非化石証書＊3と組み合わせて、環境意識の高いお客さまへの再エネ電気供給に用いる予定です","①Sonnedix Power Holdings Limited（CEO：Axel Thiemann、以下「Sonnedix社」）
②相馬坪田太陽光発電所
③40",,,,,Daigasガスアンドパワーソリューション
,7,,,,,,,,,,大阪ガスネットワーク
,8,,,,,,,,,,その他
,9,,,,,,,,,,
,10,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
