判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,2,2025/4/1,その他,カスタマーハラスメント対応方針について,"当社は、従業員一人ひとりが持つ能力を最大限発揮し、心身ともに健やかに、いきいきと活躍することができる、安全で働きやすい職場環境を確保することが、お客さまへ安全で質の高いサービスを提供する基盤であるものと考え「①」を策定しています。
企業理念に基づき「サービス第一」及び「社会への貢献」の実現に向けて、丁寧かつ誠実な対応を行うことを基本としています。",①カスタマーハラスメントに対する方針,,,,,
,3,2025/4/3,大阪ガスネットワーク,総合型地域スポーツクラブを目指し、「NOBY SPORTS CLUB」を設立～陸上競技クラブに加え、サッカースクール「NOBY SOCCER CLUB」が始動～,大阪ガスネットワーク株式会社（代表取締役社長：村田 稔、以下「大阪ガスネットワーク」）は、総合型地域スポーツクラブを目指し、同社に所属する朝原宣治主宰の「NOBY SPORTS CLUB（以下「本クラブ」）」を設立します。本クラブでは、これまで活動していた陸上競技クラブ「NOBY T&F CLUB」に加え、新たにサッカースクール「①」の活動を開始します。,①NOBY SOCCER CLUB,,,,,大阪ガス
,4,2025/4/3,その他,"【4/19(土)、4/20(日)限定】
『ダルトンホームリノベーション相談会』をダルトン自由が丘店にて開催！
～マンションリノベーションをお考えの方に向けた限定イベント！～","4月19日(土)、20日(日)の２日間限定で、ダルトン監修マンションリノベーション相談会を①にて開催いたします。これから物件探しを始める方も、今お住まいのご自宅でリノベーションを考え中の方もご参加いただける相談会です。また、ご予約されたご来場者さまにはダルトンノベルティをプレゼントいたします。
相談会では、市場動向やリノベーションについての知識、ダルトンホームリノベーションならではの理想の住まいをつくるコツや無理なくお家を購入するための資金計画などについてお話いたします。
ダルトンが監修する「DULTON HOME RENOVATION（ダルトンホームリノベーション）」では、ダルトンらしい個性を発信してきたブランドだからこそできる、いつの時代も色褪せることのないリノベーションプランをご提案します。",①ダルトン自由が丘店,,,,,Daigasエナジー
,5,2025/4/15,その他,浴室暖房乾燥機のご使用に関するお願いならびに部品取り付け作業について,大阪ガス株式会社（社長：藤原　正隆、以下「当社」）は、リンナイ株式会社（社長：内藤　弘康）が製造し、当社が大阪ガスブランド品として２００６年９月から２０１３年１０月まで販売した「①（１６１－Ｒ８０２・１６１－Ｒ８０３・１６１－Ｒ９１０型）」において、製造から１０年以上経過し経年劣化による故障が発生した際、ごくまれに機器が焼損に至るおそれのあることが判明したため、点検および経年劣化故障時に発火を防止する制御基板を取り付ける作業を無償で実施させていただきます,①浴室暖房乾燥機,,,,,大阪ガスマーケティング
,6,2025/4/15,その他,Daigasグループの会計システム刷新に関する導入事例インタビューを公開 Biz∫の導入により法改正への迅速な対応、業務効率化、帳簿類のペーパーレス化を実現,"さくら情報システム株式会社(以下：さくら情報システム)は、大阪ガスビジネスクリエイト株式会社（以下、大阪ガスビジネスクリエイト）がDaigasグループ①(2025年3月時点)にわたって会計システムを刷新したプロジェクトについて、成功事例インタビューを2025年4月15日に公開しました。

このインタビューでは、大阪ガスビジネスクリエイトが株式会社ＮＴＴデータ・ビズインテグラル(以下、ＮＴＴデータ・ビズインテグラル)のERPパッケージ「Biz∫(ビズインテグラル)」を採用し、法改正への迅速な対応、安定したシステム稼働、そして帳簿類のペーパーレス化を実現した詳細について紹介しています。",①34社,,,,,Daigasガスアンドパワーソリューション
,7,2025/4/16,その他,さくら情報システム、「えるぼし」認定の最高位 「プラチナえるぼし」を取得,さくら情報システム株式会社(本社：東京都港区、代表取締役社長：伊延 充正、以下：さくら情報システム)は、「女性の職業生活における活躍の推進に関する法律(以下、女性活躍推進法)」に基づく厚生労働大臣認定「えるぼし」における最高位「①」の認定を受けました。,①プラチナえるぼし,,,,,大阪ガスネットワーク
,8,2025/4/17,その他,AI TextSifta、新たに英字を含む財務帳票の読み取り機能と RPA連携機能を強化、業務効率向上をサポート,"さくら情報システム株式会社(本社：東京都港区、代表取締役社長：伊延 充正、以下：さくら情報システム)は、生成AIとAI OCRを組み合わせた非定型文書データ化サービス「AI TextSifta」(エー・アイ・テキストシフタ) において、新たに「英字を含む各種財務諸表の読み取り機能」と「①」の2つの新機能を2025年4月より提供開始します。
この新機能により、金融機関などが投資や融資を検討する際に、ファンド決算情報や企業の財務状況を効率的に分析でき、業務負担を大幅に軽減します。さらにRPAでAPI連携を自動化することで、既存システムに負荷をかけない業務効率化を実現します。",①RPAからのAPI連携活用による自動化,,,,,その他
,9,2025/4/21,大阪ガス,五島市沖浮体式洋上風力発電事業　発電所および各風車8基の名称披露式の開催,"五島フローティングウィンドファーム合同会社は、海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律（再エネ海域利用法）に基づき、経済産業省および国土交通省から公募占用計画の認定を受け、「①」（以下、本事業）として、浮体式洋上風力発電所（発電規模②MW）を建設しております。この度、当概発電所の名称および8基の風車の名称を正式に決定し、名称披露式を2025年4月20日に長崎県五島市にて開催したことをお知らせいたします。
 本事業における浮体式洋上風力発電所の名称を「③」に決定いたしました。この名称決定を通じて、今後さらに地域との連携を深めて参ります。
各風車8基の名称は、①、②、③、④、⑤、⑥、⑦、⑧","①五島市沖洋上風力発電事業
②16.8
③五島洋上ウィンドファーム
8基の名称
①かぜてらす
②かめりあぶりーず
③ぎばるかぜ
④ごとっかぜ
⑤しーちょっと
⑥ばらもんかぜ
⑦みじょかぜ
⑧むげんかぜ",,,,,
,10,2025/4/21,大阪ガス,都市ガス事業者として初めて、Shore to Ship方式による船舶向けLNG燃料供給事業を開始　～船舶向けLNG燃料供給事業を通じた、海運業界の低・脱炭素化への貢献～,"大阪ガス株式会社（代表取締役社長：藤原 正隆）は、 ①方式※1による船舶向けLNG燃料の供給事業を、都市ガス事業者として初めて開始しました。
   本日、大阪ガス泉北製造所第二工場（大阪府高石市）において、上記燃料供給事業における第一隻目として、株式会社②が運航するJFEスチール株式会社向けのLNG燃料鉄鋼原料船「③」にLNG燃料の供給を実施しました。海運業界の低・脱炭素化に向けたトランジション期において、環境負荷の低いLNG燃料の供給拡大を推進していきます。
当社は、2019年より④方式※3での船舶向けLNG燃料供給をすでに実施しており、今回の①方式による供給事業開始とあわせ、2つの方式でのLNG燃料供給が可能となりました。加えて、2026年度から開始予定※4のLNGバンカリング船での⑤方式※5によるLNG燃料供給により、主要な3方式全てのLNG燃料供給が可能となり、安定かつ柔軟なLNG燃料供給に寄与します。","①Shore to Ship※１
②商船三井
③VERDE HERALDO（読み：ヴェルデ　エラルド）
④Truck to Ship※３
⑤Ship to Ship
※1： 岸壁・桟橋に係留中のLNG燃料船に対して、陸上LNGターミナルなどからLNGを供給する方式。
※３岸壁に駐車したLNGタンクローリーからLNGを供給する方式。
※５LNG燃料船に対して、バンカリング船が接舷してLNGを供給する方式。",,,,,
,12,2025/4/22,大阪ガス,大阪ガスとGPSSホールディングスによる中小型の非FIT/非FIP太陽光発電所の開発（第2弾）について,"大阪ガス株式会社（以下「大阪ガス」）と①株式会社（以下「①」）は、両社による中小型の非FIT/非FIP太陽光発電所（以下「本発電所」）の第2弾＊1となる開発に合意し、本日、本発電所の運営を行う事業会社である②合同会社に両社が③％ずつ出資を行いました。
大阪ガスと①は、経済産業省が公募する「需要家主導による太陽光発電導入促進補助金」＊3（令和6年度当初予算）を活用し、②合同会社を通じて、国内5か所、合計容量約7,000kW の太陽光発電所を開発します。本発電所は、2025年4月から順次建設を開始し、2026年2月までの運転開始を目指します。","①GPSSホールディングス
②GDsPJ2
③50％",,,,,
