判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2025/3/4,大阪ガス,北海道千歳市における系統用蓄電池事業への出資について,"大阪ガスは、[①]株式会社と、[②]株式会社が出資する北海道[③]蓄電所において系統用蓄電池事業を行う特別目的会社に出資した。
系統用蓄電池に出資するのは、[④]件目","①三菱HCキャピタルエナジー
②サムスン物産
③上長都（かみおさつ）
④３",プレス,弊チームのプレスです！何でも聞いてください。,,,
,2,2025/3/6,大阪ガス,ガスビル西側での複合ビル開発とガスビルのリノベーションについて（着工延期のお知らせ）,大阪ガスと[①]株式会社は、ガスビル西側の当社グループ社有地での複合ビル開発と大阪ガスビルディングのリノベーションについて検討を進めてきたが、昨今の建設資材高騰の状況を勘案し、対応策を検討するため着工時期を延期することとした。,①大阪ガス都市開発,プレス,こんなんでるんかいね,,,
,3,2025/3/7,大阪ガス,自己株式の取得状況に関するお知らせについて,2025年2月1日～2月28日までに取得した自己株式の株式総数は、[①]株、取得価格の総額は[②]円であった。,"①1,244,800
②3,934,146,836",プレス,,,,大阪ガス
,4,2025/3/7,大阪ガス,兵庫県姫路市における発電事業の意思決定について,"大阪ガス、株式会社[①]、[②]株式会社、[③]株式会社は[④]オークションで落札した姫路天然ガス発電所3号を共同で建設することを決定した。
発電規模は、[⑤]kW、発電方式は[⑥]方式で、将来的には[⑦]導入を検討","①日本政策投資銀行（DBJ）
②SMFLみらいパートナーズ
③みずほリース
④長期脱炭素電源
⑤62.26万
⑥ガスタービンコンバインドサイクル
⑦e-メタン",プレス,姫路3号盛り上がっています！,,,Daigasエナジー
,5,2025/3/10,Daigasエナジー,法人向け太陽光発電事業および資源循環事業におけるサニックス、サニックスエンジニアリングとの業務提携について,"大阪ガスは、法人向け太陽光発電事業と資源循環事業の更なる拡大を目的とし、株式会社[①]と、[①]エンジニアリングと業務提携契約を締結した。
太陽光発電事業においては、[②]の販路拡大、資源循環事業においては、[③]や[④]で培った技術やノウハウを組み合わせる。","①サニックス
②D-Solar（太陽光発電サービス）
③D-Bio（バイオマス有効活用サービス）
④D-Aqua（水処理サービス）",プレス,D-シリーズありすぎるだろ,,,大阪ガスマーケティング
,6,2025/3/10,大阪ガス,インドでのエネルギー事業拡大に向けた再生可能エネルギー事業への参画について,"Daigasグループとしてはじめて、インドにおけるリーディングカンパニーである[①]が開発するインドの再エネ事業に参画する。
Osaka Gas Singaporeが株式会社国際協力銀行（JBIC）と共に設立した日系コンソーシアムを通じて、[①]との合弁会社である[②]を設立する。[②]は[①]の再エネアセットを一部譲りうけるとともに、新たなアセット開発を行い、3年後には[③]MWのアセットを保有予定。発電した再エネ電力は、[④]により販売する。","①CleanMax（Clean Max Enviro Energy Solutions）
②CORE（Clean Max Osaka Gas Renewable Energy Pvt. Ltd.）
③400
④コーポレートPPA",プレス,"インド盛り上がってるね！
コーポレートPPAは、再エネ電力を、商工業顧客に対して電力系統を通じて直接販売する方法",,,Daigasガスアンドパワーソリューション
,7,2025/3/13,大阪ガス,大阪・関西万博会場内においてe-メタン製造（メタネーション）実証設備 「化ける LABO（ラボ）」 を竣工～当社初、クリーンガス証書制度に基づく「クリーンガス製造設備」の認定を取得～,"大阪・関西万博のカーボンリサイクルファクトリー内で建設を進めていたe-メタン製造（メタネーション）実証設備[①]を竣工した。また、3月11日に、当社初の[②]証書制度における[②]製造設備の認定を取得た。
[①]では、バイオガスやCO?とグリーン水素からメタネーション装置により一般家庭約[③]件分に相当する量（[④]N?/h）のe-メタンを製造する。","①化けるLABO（ラボ）
②クリーンガス
③170
④7",プレス,万博きてるなあ。,,,大阪ガスネットワーク
,8,2025/3/13,大阪ガス,役員の異動、人事異動および機構改正のご通知,,,プレス,特になし,,,その他
,9,2025/3/13,大阪ガス,次期配当予想に関するお知らせ,2026年3月期の配当額について一株当たり年間[①]円を目指すことを決議,①105,プレス,でんやろ,,,
,10,2025/3/13,大阪ガス,2025年度 Daigasグループ経営計画,2025年度の、連結売上高は[①]円、営業利益は[②]円、経常利益は[③]円、親会社株主に帰属する当期純利益は[④]円を計画。,"①2兆400億
②1,390億
③1,650億
④1,270億",プレス,,,,
