判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/4/8,大阪ガス,インドにおける都市ガス事業の拡大について～大阪ガス・住友商事・JOINによる日系コンソーシアムを通じた出資～," 大阪ガス株式会社（代表取締役社長：藤原 正隆）の子会社である[①]（社長：辻村 秀臣、以下「①」）は、[②]株式会社（以下「[②]」）および株式会社海外交通・都市開発事業支援機構（以下「JOIN」）とともに日系コンソーシアムを通じて、AG＆P LNG Marketing Pte. Ltd.（以下「対象会社」）に出資することで、[③]における都市ガス事業を拡大します。
   本件は、[③]都市ガス事業への2回目の出資であり、[③]における中長期的な収益基盤の確立を目指します。
本件は、当社が2021年に出資したAG＆P都市ガス事業会社の持株会社と、Think Gas都市ガス事業会社の持株会社が合併して設立された対象会社（AG＆P LNG Marketing Pte. Ltd.）に対し、当社が日系コンソーシアムを通じて出資するもので、新たにThink Gas都市ガス事業会社の事業に参画します。","①OSAKA GAS SINGAPORE PTE. LTD.（OGS）
②住友商事
③インド",,,,,
,3,2024/4/10,大阪ガス,家庭用燃料電池「エネファーム」の累計販売台数20万台達成について," 大阪ガス株式会社（社長：藤原 正隆、以下「大阪ガス」）は、2024年4月5日に家庭用燃料電池コージェネレーションシステム[①]の累計販売台数②台※1を達成しました。エネファーム②台によるCO2削減量は年間約[③]トン※2となり、杉の木約2,650万本※3の植林に相当します。
2020年4月に発売した「エネファームtype S」は、世界最高水準※4の発電効率55％※5を達成するとともに、本体の耐久性向上や大幅な小型化も実現し、「2020年度　省エネ大賞※6」などを受賞しています。
なお、このような性能が評価され、エネファームは「高効率給湯器導入促進による家庭部門の省エネルギー推進事業費補助金」制度の対象機器に指定されており、導入時に1台当たり最大で20万円の補助金が支給されます。","①エネファーム②20万
③37万トン",,,,,大阪ガス
,4,2024/4/11,その他,さくら情報システム、「住民税通知書配付サービス」の提供を開始,さくら情報システム株式会社(本社：東京都港区、代表取締役社長：伊延　充正、以下：さくら情報システム)は、2024年6月から始まる「住民税特別徴収税額通知書（納税義務者用）」の電子化に伴い、「[①]」の提供を開始することをお知らせします。,①住民税通知書配付サービス,,,,,Daigasエナジー
,5,2024/4/12,その他,オージス総研　専門的な業務領域での活用を見据えた生成AI活用サービス「Biz-AIナビ?」の提供を開始,株式会社オージス総研（本社:大阪市西区、代表取締役社長:吉村和彦、以下、オージス総研）は、文書の作成や添削、要約などといった汎用業務での活用だけでなく、専門的な知識を要する業務領域での活用を見据えた対話型生成AIサービス「[①]」の提供を開始しました。,①Biz-AIナビ（ビジネスAIナビ）,,,,,大阪ガスマーケティング
,6,2024/4/16,Daigasエナジー,イオンモール豊川 第1回「脱炭素都市づくり対象」で最優秀賞「環境大臣賞」を受賞,イオンモール株式会社（社長：岩村康次、本社：千葉県美浜区）と清水建設株式会社（社長：井上和幸、本社：東京都中央区）および大阪ガス株式会社の100%子会社のDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区、以下「Daigasエナジー」）は、イオンモール株式会社が愛知県豊川で管理・運営する「[①]」において、国土交通省および環境省が創設した「[②]」において、最優秀賞「環境大臣賞」を受賞しました。,①イオンモール豊川②脱炭素都市づくり大賞,,,,,Daigasガスアンドパワーソリューション
,7,2024/4/17,その他,"社宅管理の仕訳をスムーズに
社宅管理担当者向けガイドブックを公開","社宅管理専用システム「[①]」を開発・提供する株式会社宇部情報システム（本社：山口県宇部市・東京都港区、代表取締役社長：松居 啓作、以下：宇部情報システム）は、社宅管理業務における基本的な会計知識に関連するガイドブック「[②]」を4月16日に公開しました。
社宅管理担当者様向けに、業務上必要な会計知識（簿記3級レベル）をまとめたものとなります。
","①借上くん（https://www.uis-inf.co.jp/kariage/）
②社宅管理の仕訳処理まるわかりガイド",,,,,大阪ガスネットワーク
,9,2024/4/23,Daigasエナジー,"日本製紙クレシア株式会社3工場へのオンサイトPPAサービスの提供が決定
～山善との共同PPA事業「ＤａｙＺｐｏｗｅｒ」～",大阪ガス株式会社（社長：藤原正隆、本社：大阪市中央区）の100%子会社のDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区、以下「Daigasエナジー」）は、株式会社山善（社長：岸田貢司、本社：大阪市西区、以下「山善」）と立ち上げた共同PPA※事業「[①]」のサービス契約を[②]株式会社(社長: 安永敦美、本社:東京都千代田区、以下「[②]」)と締結し、日本製紙クレシアの東京工場、興陽工場、京都工場の3工場へのオンサイトPPAサービスの提供が決定しました。,"①DayZpower（デイズパワー）
②日本製紙クレシア",,,,,
,11,2024/4/24,大阪ガス,韓国SK E&S社とのe-メタンをはじめとしたカーボンニュートラルに関する共同検討の開始について,大阪ガス株式会社（代表取締役社長：藤原 正隆）は、韓国の大手エネルギー事業者である[①]社と、[②]の利活用をはじめとした、カーボンニュートラルに関する共同検討の契約を締結しました。,"①SKE＆S
②e-メタン",,,,,
,12,2024/4/26,大阪ガス,2024年6月ガス料金の原料費調整について,大阪ガス株式会社（社長：藤原  正隆）は、2024年1月～2024年3月の平均原料価格に基づき、政府による「電気・ガス価格激変緩和対策事業*1」の支援を踏まえ、2024年6月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は[①]円（税込）になります。,"①6,408",,,,,
,13,2024/4/26,大阪ガス,兵庫県姫路市における発電事業の長期脱炭素電源オークション落札について,"大阪ガス株式会社（代表取締役社長：藤原正隆）は、兵庫県姫路市において検討を進めてきた天然ガス発電事業（以下「本発電事業」）に関して、[①]に応札し、本日、落札しました。

   本発電事業は、約[②]kWの高効率な[③]発電設備を導入し、2030年度中の運転開始を目指すもので、今後、本発電事業の意思決定に必要な準備を進めていきます",①長期脱炭素電源オークション＊1②60万③ガスタービンコンバインドサイクル,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
