判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/6/3,Daigasエナジー,赤穂下水管理センター消化ガス発電事業の開始について,大阪ガス株式会社（社長：藤原正隆、本社：大阪市中央区）の100%子会社のDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区、以下「Daigasエナジー」）は、[①]（以下「赤穂市」）と、「赤穂下水管理センター消化ガス発電事業」（以下「本事業」）に関する基本協定を締結し、[②]による事業計画認定の取得や、発電設備の建設を進めてまいりました。2024年6月1日から本事業を開始しましたので、お知らせいたします。,"①赤穂市上下水道事業
②再生可能エネルギー固定価格買取制度（以下「FIT制度」）",,,,,
,2,2024/6/4,その他,さくら情報システム、生成AIとAI OCRで非定型文書のデータ化を実現する 「AI TextSifta」を2024年6月から提供開始,さくら情報システム株式会社(本社：東京都港区、代表取締役社長：伊延 充正、以下：さくら情報システム)は、生成AIとAI OCRを組合せた新たなデータ化サービス「[①]」を2024年6月より提供開始することをお知らせします。,①AI TextSifta,,,,,
,3,2024/6/5,大阪ガス,グリーンイノベーション基金事業におけるSOECメタネーションのラボスケール試験装置の完成と試験実施について～世界最高効率のe-メタン製造技術の開発に挑戦～,"大阪ガス株式会社（代表取締役社長：藤原 正隆、以下「大阪ガス」）は、[①]（理事長：石村 和彦、以下「産総研」）とともに採択された、国立研究開発法人新エネルギー・産業技術総合開発機構（以下「②」）の「[③]基金事業＊1／CO2等を用いた燃料製造技術開発プロジェクト」の「[④]技術革新事業」のもと開発を進める[④]のラボスケール試験装置を完成し、試験を開始しました。
[④]は、再生可能エネルギーを用いて水や二酸化炭素を電気分解し、生成した水素や一酸化炭素からメタン合成反応装置において、触媒反応を用いてe-メタンを合成する技術です
この技術は外部水素の調達が不要、水と二酸化炭素から一気通貫でe-メタンを創造することが可能","①国立研究開発法人産業技術総合研究所
②NEDO
③グリーンイノベーション
④SOECメタネーション",,,,,大阪ガス
,6,2024/6/10,その他,オージス総研「AWS監査サービス powered by オブザーバビリティ」を提供開始,株式会社オージス総研（本社: 大阪市西区、代表取締役社長：吉村 和彦、以下 オージス総研）は、デジタルビジネスにオブザーバビリティ（可観測性）プラットフォームを提供する New Relic 株式会社（本社：東京都港区、代表取締役社長：小西 真一朗、以下 New Relic）と、オブザーバビリティプラットフォーム「[①]」の販売パートナー契約を締結しました。,①New Relic,,,,,Daigasガスアンドパワーソリューション
,7,2024/6/17,大阪ガスネットワーク,大阪ガスネットワークの次世代向け防災教育『考える防災教室』が10周年を迎えました,当社は[①]年の阪神淡路大震災以降、地域の皆さまと共に、復旧・復興活動に取り組んできました。2011年の東日本大震災をうけ、小学校での防災教育のニーズが高まったことを踏まえ、防災教育プログラム『[②]』の作成にいたりました。,"①1995
②考える防災教室",,,,,大阪ガスネットワーク
,9,2024/6/19,大阪ガス,蓄電池、電気自動車を使用するご家庭のお客さま向けの料金メニューの新設について,"大阪ガス株式会社（代表取締役社長：藤原 正隆、以下「大阪ガス」）は、カーボンニュートラル社会の実現やレジリエンス性へのニーズの高まりを踏まえ、蓄電池や[①]）を使用するご家庭のお客さま向けの電気料金メニューを新設し、2024 年 7 月 1 日より受付を開始します。
 IoT 対応蓄電池※2 単体でお使いのお客さま向けの電気料金メニュー「②」は、季節の電力需要の変動を踏まえ、昼間や夜間の電気が余る時間帯の単価を安くして充電を促し、電気が不足する時間帯に放電を促す特徴を持ったメニューです。","①電気自動車※1（以下「EV」
②ＭＹ 蓄電プラン＋(プラス)",,,,,
,10,2024/6/20,その他,Plug and Play Japan 株式会社と京都リサーチパーク株式会社が イノベーション創発に向けた連携協定を締結 ?Plug and Play Kyotoの活動拠点を京都リサーチパークへ移転?,[①] 株式会社（本社：東京都渋谷区、代表取締役社長：ヴィンセント・フィリップ、以下「[①]」）と、京都リサーチパーク株式会社（本社：京都府京都市、代表取締役社長：門脇 あつ子、以下「KRP」）は、イノベーション創発活動を推進するための連携協定を締結いたしました。また、2024年6月より[①]の京都拠点である「[①]Kyoto」のオフィスを京都リサーチパーク（以下、「KRP地区」）へ移転したことをお知らせいたします。,①Plug and Play Japan,,,,,
,11,2024/6/20,大阪ガスマーケティング,スマイLINK TV Stickのコンテンツに「FASTチャンネル」を日本初導入！～北米等で急成長中のストリーミングテレビ「FAST」で更なるサービス拡充へ～," 大阪ガス株式会社（代表取締役社長：藤原　正隆、以下「大阪ガス」）は、お客さまのおうち時間を豊かにすることを目的に、無料映像配信サービス「FAST（Free Ad-supported Streaming Television）」を提供する[①]株式会社（代表取締役　CEO：福﨑 伸也、以下「①」）と提携し、スマイLINK TV Stickのコンテンツとして「[②]」を日本で初めて導入します。なお、「[②]」はスマイLINK TV Stick の新規申込者※を対象に、2024年6月20日（木）より提供開始されます。
","①BBM
②FASTチャンネル",,,,,
,12,2024/6/27,その他,京都リサーチパーク地区の総合力を大発信！ 「KRPフェス2024」 　7月25日より開催 YOU GO KRP ! 人・まち・技術が“融合” するイノベーションの祭典,京都リサーチパーク株式会社（代表取締役社長：門脇あつ子、以下KRP）は、2024年7月25日(木)から7月30日(火)までの期間、京都リサーチパーク（京都市下京区、以下KRP地区）や周辺エリアにて、地区最大のイノベーションの祭典「[①]」を開催します。,①KRPフェス2024,,,,,
,13,2024/6/27,その他,株式会社CDエナジーダイレクトにて、電力取引・リスク管理ソリューションを導入決定,"～電力取引・リスク管理ソリューションで市場リスクを可視化し、電力事業の安定化を支援～
　株式会社オージス総研（本社:大阪市西区、代表取締役社長:吉村和彦、以下「オージス総研」）は、電力取引・リスク管理ソリューションを株式会社[①]（本社:東京都中央区、代表取締役社長:武村勝博、以下「[①]」）に提供します。",①株式会社CDエナジーダイレクト,,,,,
