判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/12/6,大阪ガス,自己株式の取得状況に関するお知らせについて,"当社は、2024年10月31日開催の取締役会において、会社法第165条第3項の規定により読み替えて適用される同法第156条の規定に基づき、自己株式を取得することを決議しました。2024年11月1日から11月30日までに実施しました、当社株式の取得の状況をお知らせします。









",ー,https://www.osakagas.co.jp/company/press/pr2024/1784894_56470.html,,,,
,2,2024/12/16,大阪ガス,e-メタンの国際的アライアンス 「e-NG Coalition」 の設立完了について,大阪ガス株式会社（は、このたび、エネルギー分野で事業を進める７社とともに、世界初となるe-methaneの世界的な普及拡大を目指す国際的アライアンス 「①」の設立を完了しました。,"①e-NG Coalition（イーエヌジーコーリション）
:本アライアンスは、e-メタンがカーボンニュートラル社会実現に向けてエネルギー転換を加速させると考える企業による国際的な連合",https://www.osakagas.co.jp/company/press/pr2024/1784956_56470.html,,,,
,3,2024/12/19,大阪ガス,東急グループのイッツコム、Daigasグループの大阪ガスがソニーネットワークコミュニケーションズのグループ会社ライフエレメンツへ資本参加－従来の「スマートホーム」を発展させた「地域に根差した、顧客視点スマートライフ」実現へ－,IoT機器、生活・インフラサービス、エネルギーマネジメントを融合させた「地域に根差した、①」の実現のため、東急グループの②株式会社（以下、イッツコム）とDaigasグループの大阪ガス株式会社）は、ソニーネットワークコミュニケーションズ株式会社（以下、ソニーネットワークコミュニケーションズ）のグループ会社でありサービスプラットフォーム提供事業者のライフエレメンツ株式会社（以下、ライフエレメンツ）に資本参加し、4社間での事業提携を開始いたします。,"①顧客視点スマートライフ
②イッツ・コミュニケーションズ（イッツコム）",https://www.osakagas.co.jp/company/press/pr2024/1785020_56470.html,,,,大阪ガス
,4,2024/12/20,大阪ガス,神戸市との地域脱炭素推進に関する連携協定の締結について～ポートアイランド「神戸医療産業都市」の脱炭素化とレジリエンス強化を目指して～,"大阪ガス株式会社は、神戸市（市長：久元 喜造）と、本日、連携協定（以下「本協定」）を締結しました。

 神戸市と、大阪ガスを含む6者の共同提案者は、環境省が募集した「①」に、「震災から30年、復興プロジェクト『②』を脱炭素で『いのちを守るまち』へ進化」の計画で提案し、2024年9月に選定されました。
地域脱炭素に向けた取り組みの推進にあたり、神戸市と大阪ガスが相互に連携・協力するために、本協定を締結します。","①第5回脱炭素先行地域
②神戸医療産業都市",https://www.osakagas.co.jp/company/press/pr2024/1785042_56470.html,,,,Daigasエナジー
,5,2024/12/25,大阪ガス,Sonnedix社が保有する稼働済みメガソーラー発電所への出資参画について,"大阪ガス株式会社は、世界的な再生可能エネルギー発電事業者であるSonnedix Power Holdings Limited（CEO：Axel Thiemann、以下「Sonnedix社」）が保有する発電所運営会社から、国内2カ所の①太陽光発電所の持分②%をそれぞれ取得しました。
大阪ガスがSonnedix社の保有する発電所に出資するのは、本発電所で6カ所＊3となり、合計の発電容量は20万kWを超えました。","①FIT
②40",https://www.osakagas.co.jp/company/press/pr2024/1785121_56470.html,,,,大阪ガスマーケティング
,6,2024/12/25,大阪ガス,令和6年度「電気・ガス料金負担軽減支援事業」の採択に伴うガス基本約款等および電気供給約款等の変更について,"大阪ガス株式会社は、政府の令和6年度「①」に採択されたことを受け、2025年1月1日に当社のガス基本約款等および電気供給約款等を変更し、2025年2月検針分（1月使用分）から2025年4月検針分（3月使用分）までの期間、政府の令和6年度「①」の対象となるお客さまのガス料金および電気料金を値引きします。







",①電気・ガス料金負担軽減支援事業,https://www.osakagas.co.jp/company/press/pr2024/1784920_56470.html,,,,Daigasガスアンドパワーソリューション
,7,2024/12/26,大阪ガス,2025年2月ガス料金の原料費調整について,"大阪ガス株式会社は、2024年9月～2024年11月の平均原料価格に基づき、政府による「①」を踏まえ、2025年2月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は6,162円（税込）になります。",①電気・ガス料金負担軽減支援事業,https://www.osakagas.co.jp/company/press/pr2024/1785145_56470.html,,,,大阪ガスネットワーク
,8,,,,,,,,,,その他
,9,,,,,,,,,,
,10,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
