判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,2024/9/4,Daigasエナジー,脱臭プロセスのCO2削減を初期投資ゼロで提供するサービス「D-Remove」の開始,"　Daigasエナジーは、工場を対象に【①】プロセスで発生するCO2の削減を初期投資ゼロで提供するサービス「【②】」を本日より開始します。
　このたび開始する「【②】」は、大気汚染や悪臭公害の原因となる【③】(VOC)を除去し脱臭するプロセスで発生するCO2の削減を初期投資ゼロで提供するサービスです。脱臭装置をよりCO2排出の少ない方式に更新するとともに、【④】サービス等も活用しCO2マネジメントを実現します。","①脱臭
②D-Remove
③揮発性有機化合物
④IoT",,,,,
,2,2024/9/5,大阪ガス,日産自動車と大阪ガス、EVを活用した電力ビジネス分野において協業を開始,"　【①】と大阪ガスは、カーボンニュートラル社会の実現に向けて、【②】を活用した電力ビジネス分野で協業を開始します。
　【①】は【②】のパイオニアであり、環境問題や社会課題、そして変化するお客さまのニーズに対応し、よりクリーンで安全、誰もが共生できる社会の実現を目指しています。大阪ガスは、再生可能エネルギー（以下「再エネ」）の開発や電力トレーデイング、エネルギーマネジメントの知見を有しており、2社の協業により一般家庭向け小売電気事業および EV充電電力の再エネ利用を進めていく予定です。","①日産自動車
②電気自動車（EV）",,,,,
,3,2024/9/6,大阪ガスネットワーク,神姫バス路線における「工事現場をAIで自動認識する車載カメラ」によるガス管パトロール業務の運用開始について～スマート保安導入による生産性・保安品質向上の実現～, 大阪ガスネットワークは、【①】の路線バスを用いて、「工事現場をAIで自動認識する車載カメラ」（AIカメラ）を活用したガス管パトロール業務の運用を開始しました。なお、大阪ガスネットワークの都市ガス供給区域におけるAIカメラによるガス管パトロール業務の運用は、神姫バスで3社目となります。,①神姫バス,,,,,大阪ガス
,4,2024/9/6,その他,"グラングリーン大阪 本日9月6日先行まちびらき
～JR大阪駅前に約45,000m2の都市公園を含む新たなまちが誕生。全体まちびらきは2027年度予定～",,,,,,,Daigasエナジー
,5,2024/9/6,大阪ガス,自己株式の取得状況に関するお知らせについて,,,,,,,大阪ガスマーケティング
,6,2024/9/11,その他,ガス料金の改定および払込書発行手数料・口座振替割引の設定に伴うガス供給約款変更のお知らせ,,,,,,,Daigasガスアンドパワーソリューション
,7,2024/9/11,大阪ガス,～地域課題の解決を目指した訪日観光客向けの寄付を通じた新しい取り組み～「Donate & Go」及び「Preserve Kyoto Gift」への参画について,"大阪ガスは、株式会社ギフティ、京都市、一般社団法人倶知安観光協会、日本航空株式会社と共同で、訪日客が訪れた地域に寄付をし、そのお礼のギフトとして地域で活用できる電子ギフト券等を受け取る仕組みの普及を通じて、観光に関する地域課題の解決を目指す団体「【①】コンソーシアム」を設立します。「【①】」の仕組みの中で大阪ガスは電子ギフト券等の発行と、その利用先の加盟店の取りまとめを担います。
   また、「【①】」を導入した第一弾の取り組みとして、京都氏を訪れた訪日客を対象に寄付を募る「【③】を本日から開始し、今後はニセコエリアを始めとする全国の地域に拡大していく予定です。","①Donate & Go
③Preserve Kyoto Gift」",,,,,大阪ガスネットワーク
,8,2024/9/11,大阪ガス,都市ガス事業者初となるトランジション・リンク・ローンによる資金調達に関するお知らせ, 大阪ガス株式会社は、都市ガス事業者初となる【①】の契約を締結しましたので、下記の通りお知らせします。,①トランジション・リンク・ローン,,,,,その他
,9,2024/9/11,大阪ガス,2024年度 総合防災訓練の実施について,大阪ガスは、本日、南海トラフを震源とするマグニチュード【①】の地震を想定した総合防災訓練を実施しました。地震訓練とＢＣＰ訓練＊１を同じ前提で実施することにより、災害対応業務と並行して事業継続を行う上での課題などを検証し、総合的な災害対応力の強化を図っています。,①マグニチュード8.7,,,,,
,10,2024/9/12,その他,「組織・人」に特化したセキュリティ対策特化型支援サービス　企業のサイバーリスク予防「CYBER Healthcare」を提供開始,さくら情報システムは、組織・人的セキュリティ対策特化型支援サービスとして、企業のサイバーリスク予防「【①】」の提供を2024年9月12日より正式に開始します。当サービスでは、「組織・人」に特化したセキュリティ対策の導入、または課題解決を専門家が伴走支援することで、現状の部分最適なセキュリティ対策を全体最適に改善します。,①CYBER Healthcare,,,,,
,11,2024/9/12,大阪ガス,自己株式の取得状況および取得終了に関するお知らせについて,,,,,,,
,12,2024/9/20,Daigasエナジー,学校法人京都産業大学との包括連携協定の締結について,Daigasエナジーは、学校法人京都産業大学と、包括連携協定を締結しました。本協定は、京都産業大学とDaigasエナジーが緊密に連携し、エネルギー事業の利用など広範な分野において協働することで、京都産業大学全体の【①】と【②】を目的としています。,"①カーボンニュートラルの推進
②地域との繋がり強化",,,,,
,13,2024/9/25,大阪ガス,e-methaneの環境価値管理・移転を可能とするデジタルプラットフォーム「CO2NNEX(R)」の大阪・関西万博での実装について,"大阪ガス、①の2社は、【②】の流通を可視化し、e-methaneの環境価値*1管理や移転を行う都市ガス業界初のデジタルプラットフォーム「【③】」を2025年日本国際博覧会で実装することについて合意しました。また、本プラットフォームではe-メタンでの利用に加え、将来的なカーボンリサイクル燃料（e-fuel・SAF・グリーンLPG）への適用拡大の可能性を追求していきます。
③では、e-メタンの社会実装で必要となるe-メタン属性データ（製造量、原料となるCO2量・H2量 等）の管理機能や、e-メタン・バイオガスが創出する環境価値の管理・移転機能を搭載する予定です","①三菱重工業
②二酸化炭素
③CO2NNEX（コネックス）",,,,,
,14,2024/9/26,大阪ガス,自己株式の消却に関するお知らせについて,,,,,,,
,15,2024/9/27,大阪ガス,2024年11月ガス料金の原料費調整について,"大阪ガスは、2024年6月～2024年8月の平均原料価格に基づき、政府による「酷暑乗り切り緊急支援*1」を踏まえ、2024年11月検針分の一般料金に適用する単位料金を以下の通り調整いたします。この調整により今月の標準家庭におけるガス料金は6,226円（税込）になります。",,,,,,
,16,2024/9/30,その他,"睡眠から心身の健康増進を目指すオーダーリノベーションサービス
『マイリノウェル』 （パラマウントベッド監修）提供開始
～人生100年時代を見据えた、心身ともに健康に自分らしく過ごす空間づくり～",Daigasグループのグローバルベイス株式会社は、パラマウントベッド株式会社監修のもと、寝室を中心に心身共に健康に自分らしく暮らすためのオーダーリノベーションサービス「【①】」を 2024年10月1日より提供開始いたします。人生100年時代を見据え、家族のあり方やライフステージの変化に伴い、新たな住まい方を検討するお客さまのニーズに応えてまいります。,①MYRENO WELL(マイリノウェル),,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
