判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,1,,,," 大阪ガス株式会社（代表取締役社長：藤原 正隆、以下「大阪ガス」）と大阪ガスマーケティング株式会社（代表取締役社長：森崎 健志、以下「大阪ガスマーケティング」）は、5月26日より、大阪ガスが提供する「マイ大阪ガス」、「スマイLINK」、「スマぴこ」といった、各種デジタルサービスを1つのアカウントでシームレスにご利用いただける「①」の運用を開始します。あわせて、Web会員サービス「マイ大阪ガス」アプリをリニューアルし、一人ひとりのお客さまに寄り添ったコンテンツを表示する機能の拡充や、操作性・利便性をより一層向上させる改善を行います。


",①「DaigasID,,,,,
,2,,,,,,,,,,
,3,,,,,,,,,,大阪ガス
,4,,,,,,,,,,Daigasエナジー
,5,,,,,,,,,,大阪ガスマーケティング
,6,,,,,,,,,,Daigasガスアンドパワーソリューション
,7,,,,,,,,,,大阪ガスネットワーク
,8,,,,,,,,,,その他
,9,,,,,,,,,,
,10,,,,,,,,,,
,11,,,,,,,,,,
,12,,,,,,,,,,
,13,,,,,,,,,,
,14,,,,,,,,,,
,15,,,,,,,,,,
,16,,,,,,,,,,
,17,,,,,,,,,,
,18,,,,,,,,,,
,19,,,,,,,,,,
,20,,,,,,,,,,
,21,,,,,,,,,,
,22,,,,,,,,,,
,23,,,,,,,,,,
,24,,,,,,,,,,
,25,,,,,,,,,,
,26,,,,,,,,,,
,27,,,,,,,,,,
,28,,,,,,,,,,
,29,,,,,,,,,,
,30,,,,,,,,,,
,31,,,,,,,,,,
,32,,,,,,,,,,
,33,,,,,,,,,,
,34,,,,,,,,,,
,35,,,,,,,,,,
,36,,,,,,,,,,
,37,,,,,,,,,,
,38,,,,,,,,,,
,39,,,,,,,,,,
,40,,,,,,,,,,
,41,,,,,,,,,,
,42,,,,,,,,,,
,43,,,,,,,,,,
,44,,,,,,,,,,
,45,,,,,,,,,,
,46,,,,,,,,,,
,47,,,,,,,,,,
,48,,,,,,,,,,
,49,,,,,,,,,,
,50,,,,,,,,,,
,51,,,,,,,,,,
,52,,,,,,,,,,
,53,,,,,,,,,,
,54,,,,,,,,,,
,55,,,,,,,,,,
,56,,,,,,,,,,
,57,,,,,,,,,,
,58,,,,,,,,,,
,59,,,,,,,,,,
,60,,,,,,,,,,
,61,,,,,,,,,,
,62,,,,,,,,,,
,63,,,,,,,,,,
,64,,,,,,,,,,
,65,,,,,,,,,,
,66,,,,,,,,,,
,67,,,,,,,,,,
,68,,,,,,,,,,
,69,,,,,,,,,,
,70,,,,,,,,,,
,71,,,,,,,,,,
,72,,,,,,,,,,
,73,,,,,,,,,,
,74,,,,,,,,,,
,75,,,,,,,,,,
,76,,,,,,,,,,
,77,,,,,,,,,,
,78,,,,,,,,,,
,79,,,,,,,,,,
,80,,,,,,,,,,
,81,,,,,,,,,,
,82,,,,,,,,,,
,83,,,,,,,,,,
,84,,,,,,,,,,
,85,,,,,,,,,,
,86,,,,,,,,,,
,87,,,,,,,,,,
,88,,,,,,,,,,
,89,,,,,,,,,,
,90,,,,,,,,,,
,91,,,,,,,,,,
,92,,,,,,,,,,
,93,,,,,,,,,,
,94,,,,,,,,,,
,95,,,,,,,,,,
