判定,No.,掲載月日,会社,プレスタイトル,問題,解答,,,,,
,,2024/7/5,Daigasエナジー,４００ｋWガスエンジンコージェネレーションシステムにおいて水素混焼率30％での実証運転試験に成功, 大阪ガス株式会社（社長：藤原正隆、本社：大阪市中央区、以下「大阪ガス」）、大阪ガスの100%子会社のDaigasエナジー株式会社（社長：福谷博善、本社：大阪市中央区、以下「Daigasエナジー」）は、[①]株式会社（社長：山下宏治、本社：兵庫県尼崎市、以下「①」）と共同で、[①]製の都市ガス仕様コージェネレーションシステム「②」において、都市ガスに水素燃料を[③]％混焼する実証運転試験に成功しました。,"①ヤンマーエネルギーシステム（ヤンマーES）
②EP400G
③30",,,,,
,3,2024/7/8,その他,"京都リサーチパーク（KRP地区）で新棟建設の推進を決定 2,700㎡規模のレンタルラボを整備 －スタートアップ事業者も利用しやすいフロアを計画－","【①】株式会社は、京都リサーチパーク株式会社（KRP）が運営するKRP地区において、2027年竣工を目指した新棟建設の推進を決定いたしましたのでお知らせします。当計画により、KRP地区内に既設のレンタルラボ31,000㎡に加え、ウェットラボを中心とした2,700㎡規模のレンタルラボを新規供給します。
当計画をはじめとし、大阪ガス都市開発と京都リサーチパークは、今後もレンタルラボ・オフィスの開発を進めることでKRP地区を発展させるとともに、産学公の多様なコミュニティからなる交流機会を創るイノベーション創発活動を通じ、京都からの新ビジネス・新産業の創出に貢献します。",①大阪ガス都市開発株式会社,,,,,大阪ガス
,4,2024/7/8,大阪ガス,2025年日本国際博覧会会場へのカーボンニュートラルガスの供給について,"  大阪ガスは、公益社団法人２０２５年日本国際博覧会協会と「2025年日本国際博覧会(大阪・関西万博)会場で使用する【①】」に関する契約を締結しました。また、国内の複数のe-メタン、バイオメタンを製造する他事業者のプロジェクトなどから環境価値の調達を行う予定です。
   これらにより、2024年9月1日から2025年12月31日の期間において大阪・関西万博会場に【②】を供給します。また当社は、大阪・関西万博の会場内で、e-メタン製造実証事業によるe-メタンの製造と供給も行います。
   これらの取り組みを通じ、博覧会協会が掲げる「【③】」の実現に貢献します。
Daigasグループは、2021年1月に発表した「カーボンニュートラルビジョン」や2023年3月に発表した「エネルギートランジション2030」のもと、脱炭素社会に貢献する技術・サービスの開発に取り組み、気候変動をはじめとする社会課題の解決に努め、暮らしとビジネスの""さらなる進化""のお役に立つ企業グループを目指してまいります。","①カーボンニュートラルガス調達業務
②カーボンニュートラルガス
③EXPO2025 グリーンビジョン",,,,,Daigasエナジー
,5,2024/7/10,その他,オージス総研社員、「2024 Japan AWS All Certifications Engineers」を受賞,株式会社オージス総研の社員2名が、【①】（AWS）が開催した「AWS Summit Japan 2024」にて、「2024 Japan AWS All Certifications Engineers」*1を受賞しました。「Japan AWS All Certifications Engineers」とは、AWS Partner Network（APN）に参加している企業に所属し、AWS認定資格を全て保持しているAWSエンジニアを対象にした表彰プログラムです。対象のAWS認定資格は12種あり、AWSに関する卓越した技術力、実績を有している証明となります。,①アマゾンウェブサービス,,,,,大阪ガスマーケティング
,6,2024/7/11,大阪ガス,佐賀県武雄市における系統用蓄電池事業への出資・参画について～系統安定化ニーズの高い九州エリアにおける系統用蓄電池の取り組み～,"　大阪ガスは、①株式会社、②株式会社、③株式会社の3社と共に系統用蓄電池事業を実施します。今後4社は【④】合同会社に出資を行ない、系統用蓄電所の2025年度中の運転開始を目指します。また、大阪ガスが系統用蓄電池事業に出資・参画するのは千里蓄電所2についで2件目となります。
　近年、再生可能エネルギーの導入拡大に伴い、再エネの出力変動を補完できる蓄電池に注目が集まっています。特に太陽光発電をはじめとする再エネ電源の多い九州エリアでは、天候により電力の需給バランスが大きく変動することから、電力系統の安定化に寄与できる蓄電池の重要性が高まっています。
   この度、大阪ガスがこれまで培ってきた電力トレーディングの知見を活かし、3つの電力市場（卸電力市場・需給調整市場・容量市場）での取引を通じて、【④】蓄電所の蓄電池を充放電することにより電力系統の安定化に寄与します。
   Daigasグループは、2023年3月に発表した「エネルギートランジション2030」等に基づき、年のカーボンニュートラル実現を目指しています。蓄電池は再エネの導入加速と電力系統の安定化に貢献する電源と捉え、今後も蓄電池事業の拡大を推進するとともに、社会課題である脱炭素社会の実現に取り組んでまいります。","①みずほリース
②JFEエンジニアリング
③九州製鋼
④武雄蓄電所",,,,,Daigasガスアンドパワーソリューション
,7,2024/7/16,その他,さくら情報システムが会計システム構築を担うSBI地方創生バンキングシステムの 地域金融機関向けクラウドベースの勘定系システム「次世代バンキングシステム」一行目、 福島銀行が本番稼働開始,さくら情報システム株式会社が会計システム構築を担う、SBI地方創生バンキングシステム株式会社の「地域金融機関向けのクラウドベースの勘定系システム『【①】』」のプロジェクトにおいて、一行目となる株式会社福島銀行が7月16日(火)より本番稼働を開始したことを報告します。,①次世代バンキングシステム,,,,,大阪ガスネットワーク
,8,2024/7/17,その他,「グラングリーン大阪」都市公園を含む複合開発で日本初となる「LEED-NDプラン認証」「SITES予備認証」を同時取得（ともにGOLD評価）～「RE100」に対応した再エネ電力、カーボンニュートララルな都市ガスを採用～,,,,,,,その他
,9,2024/7/18,Daigasエナジー,"「チャレンジ・カーボンニュートラル・コンソーシアム（CCNC）」の2024年度活動開始について
～大阪府下100店以上で脱炭素に配慮した購買行動の促進を実施～","生活者の脱炭素への意識・行動変容を促すことで、企業の脱炭素の取り組みを加速させ、脱炭素社会を構築することを目指し全14社が参画する【①】（CCNC）は、2024年度の活動を開始します。
　株式会社日本総合研究所が主催するCCNCは2023年9月に設立され、「Daigasエナジーは脱炭素支援パートナーとして参加しています。2024年1月にはCCNC参加企業である【②】および【③】の店舗で、生活者がカーボンニュートラルについて「触れる」、「学ぶ」、そして解決へ向けて「取り組む」ことを促進する実証実験を行いました。2024年度は、この取り組みの規模を拡大し、2024年11月に万代の【④】下にある全111店舗をはじめ、スギ薬局でも実証実験を実施する予定です。なお、CCNCの2024年度の活動は、大阪府が実施する脱炭素関連施策と連携して実施します。","①チャレンジ・カーボンニュートラル・コンソーシアム
②スギ薬局
③万台
④大阪府",,,,,
,10,2024/7/19,大阪ガス,譲渡制限付株式報酬としての自己株式の処分の払込完了に関するお知らせ,,,,,,,
,11,2024/7/23,その他,メタバースで魅力的な会議空間をKRPが初試験導入！ 未来のコミュニケーションを創造する「KRP ISLAND」,京都リサーチパーク株式会社（KRP）は、株式会社【①】（コノキュー）が提供するブラウザ版仮想空間プラットフォーム「【②】」を活用し、メタバース内でアバターを使ったセミナーや交流イベントが開催できる「KRP ISLAND」をKRP主催イベント「KRPフェス2024」に合わせて公開します。また、2024年7月26日（金）、27日（土）、29日（月）に「KRP ISLAND」での交流を実際に体験できる「メタバース探険！KRP ISLAND体験会」を開催します。メタバース上でアバターを介して属性の垣根を超えた交流をすることで、参加者同士のよりインタラクティブなコミュニケーションを目指します。,"①NTT QONOQ
②DOOR",,,,,
